Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63170190,TiNox-beschichtet,15,1.0,3.5,GS07,18 A+,2.0,".0262, .0290, .0322, .0326, .0330"
63170280,TiNox-beschichtet,20,4.5,6.5,GS10,18 A+,2.7,".0432, .0472, .0476, .0480"
63170345,TiNox-beschichtet,25,7.0,8.5,GS10,16 A+,2.7,".0432, .0472, .0476, .0480"
63170405,TiNox-beschichtet,32,1.5,10.5,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63170574,TiNox-beschichtet,50,1.5,16.5,GS16,14 A+,4.4,".0582, .0594, .0670"
