Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Nuttiefe mm,Typ (Modell),d2 mm,d3 mm,Aufnahme 6058. _ _ _ _
63550568,AlCrN-beschichtet,50,2,2.73,10.0 (5.0*),30 BS,16,28,".0430, .0530, .0630"
63550569,AlCrN-beschichtet,50,2,2.73,10.0,20 BS,16,28,".0430, .0530, .0630"
63550570,AlCrN-beschichtet,50,2.5,2.73,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
63550571,AlCrN-beschichtet,50,2.5,2.73,10.5,20 BS,16,28,".0430, .0530, .0630"
63550572,AlCrN-beschichtet,50,3,3.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
63550573,AlCrN-beschichtet,50,3,3.08,10.5,20 BS,16,28,".0430, .0530, .0630"
63550574,AlCrN-beschichtet,50,4,4.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
63550575,AlCrN-beschichtet,50,4,4.08,10.5,20 BS,16,28,".0430, .0530, .0630"
63550576,AlCrN-beschichtet,50,5,5.08,10.5 (5.0*),30 BS,16,28,".0430, .0530, .0630"
63550577,AlCrN-beschichtet,50,5,5.08,10.5,20 BS,16,28,".0430, .0530, .0630"
63550579,AlCrN-beschichtet,50,6,6.08,10.5,20 BS,16,28,".0430, .0530, .0630"
63550628,AlCrN-beschichtet,63,2,2.73,14.5 (7.5*),26 BS,16,32,".0440, .0540, .0640"
63550629,AlCrN-beschichtet,63,2,2.73,14.5,18 BS,16,32,".0440, .0540, .0640"
63550630,AlCrN-beschichtet,63,2.5,2.73,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
63550631,AlCrN-beschichtet,63,2.5,2.73,15.0,18 BS,16,32,".0440, .0540, .0640"
63550632,AlCrN-beschichtet,63,3,3.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
63550633,AlCrN-beschichtet,63,3,3.08,15.0,18 BS,16,32,".0440, .0540, .0640"
63550634,AlCrN-beschichtet,63,4,4.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
63550635,AlCrN-beschichtet,63,4,4.08,15.0,18 BS,16,32,".0440, .0540, .0640"
63550636,AlCrN-beschichtet,63,5,5.08,15.0 (7.5*),26 BS,16,32,".0440, .0540, .0640"
63550637,AlCrN-beschichtet,63,5,5.08,15.0,18 BS,16,32,".0440, .0540, .0640"
63550639,AlCrN-beschichtet,63,6,6.08,15.0,18 BS,16,32,".0440, .0540, .0640"
63550658,AlCrN-beschichtet,80,2,2.73,23.0 (11.5*),24 BS,16,32,".0440, .0540, .0640"
63550659,AlCrN-beschichtet,80,2,2.73,23.0,16 BS,16,32,".0440, .0540, .0640"
63550660,AlCrN-beschichtet,80,2.5,2.73,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
63550661,AlCrN-beschichtet,80,2.5,2.73,23.5,16 BS,16,32,".0440, .0540, .0640"
63550662,AlCrN-beschichtet,80,3,3.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
63550663,AlCrN-beschichtet,80,3,3.08,23.5,16 BS,16,32,".0440, .0540, .0640"
63550664,AlCrN-beschichtet,80,4,4.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
63550665,AlCrN-beschichtet,80,4,4.08,23.5,16 BS,16,32,".0440, .0540, .0640"
63550666,AlCrN-beschichtet,80,5,5.08,23.5 (11.5*),24 BS,16,32,".0440, .0540, .0640"
63550667,AlCrN-beschichtet,80,5,5.08,23.5,16 BS,16,32,".0440, .0540, .0640"
63550669,AlCrN-beschichtet,80,6,6.08,23.5,16 BS,16,32,".0440, .0540, .0640"
63550718,AlCrN-beschichtet,100,2,2.73,29.0 (14.5*),24 BS,22,40,.0650
63550719,AlCrN-beschichtet,100,2,2.73,29.0,16 BS,22,40,.0650
63550720,AlCrN-beschichtet,100,2.5,2.73,29.5 (14.5*),24 BS,22,40,.0650
63550721,AlCrN-beschichtet,100,2.5,2.73,29.5,16 BS,22,40,.0650
63550722,AlCrN-beschichtet,100,3,3.08,29.5 (14.5*),24 BS,22,40,.0650
63550723,AlCrN-beschichtet,100,3,3.08,29.5,16 BS,22,40,.0650
63550724,AlCrN-beschichtet,100,4,4.08,29.5 (14.5*),24 BS,22,40,.0650
63550725,AlCrN-beschichtet,100,4,4.08,29.5,16 BS,22,40,.0650
63550726,AlCrN-beschichtet,100,5,5.08,29.5 (14.5*),24 BS,22,40,.0650
63550727,AlCrN-beschichtet,100,5,5.08,29.5,16 BS,22,40,.0650
63550729,AlCrN-beschichtet,100,6,6.08,29.5,16 BS,22,40,.0650
63550748,AlCrN-beschichtet,125,2,2.73,41.5 (21.0*),24 BS,22,40,.0650
63550749,AlCrN-beschichtet,125,2,2.73,41.5,16 BS,22,40,.0650
