Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Nuttiefe mm,Typ (Modell),d2 mm,d3 mm,Aufnahme 6058. _ _ _ _
63550750,AlCrN-beschichtet,125,2.5,2.73,42.0 (21.0*),24 BS,22,40,.0650
63550751,AlCrN-beschichtet,125,2.5,2.73,42.0,16 BS,22,40,.0650
63550752,AlCrN-beschichtet,125,3,3.08,42.0 (21.0*),24 BS,22,40,.0650
63550753,AlCrN-beschichtet,125,3,3.08,42.0,16 BS,22,40,.0650
63550754,AlCrN-beschichtet,125,4,4.08,42.0 (21.0*),24 BS,22,40,.0650
63550755,AlCrN-beschichtet,125,4,4.08,42.0,16 BS,22,40,.0650
63550756,AlCrN-beschichtet,125,5,5.08,42.0 (21.0*),24 BS,22,40,.0650
63550757,AlCrN-beschichtet,125,5,5.08,42.0,16 BS,22,40,.0650
63550759,AlCrN-beschichtet,125,6,6.08,42.0,16 BS,22,40,.0650
63550783,AlCrN-beschichtet,160,3,3.18,55.5,16 BS,32,48,.0660
63550785,AlCrN-beschichtet,160,4,4.18,55.5,16 BS,32,48,.0660
63550845,AlCrN-beschichtet,200,4,4.18,75.5,16 BS,32,48,.0660
