Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63130185,unbeschichtet,15,"<= 0.5",3.5,GS07,,2.0,".0262, .0290, .0322, .0326, .0330"
63130190,unbeschichtet,15,"0.51 - 1.00",3.5,GS07,,2.0,".0262, .0290, .0322, .0326, .0330"
63130195,unbeschichtet,15,"1.01 - 1.50",3.5,GS07,,2.1,".0262, .0290, .0322, .0326, .0330"
