Artikel Nr.,Typ (Modell),fuer Saegen-O,d1 mm,d2 mm,d3 mm,d4 mm,G,l1 mm,l2 mm,L mm
60580430,A4,50 mm,16,16,28,,,23.6,,75.8
60580440,A4,63 / 80 mm,16,16,32,,,23.6,,75.8
60580530,B3,50 mm,21,16,28,,M12,32.8,,55
60580540,B3,63 / 80 mm,29,16,32,,M16,39.8,,64
60580630,C3,50 mm,16,16,28,9,,33.7,18,35.9
60580640,C2,63 / 80 mm,16,16,32,9,,29.7,18,31.9
60580650,C2,100 / 125 mm,22,22,40,11,,37.7,20,39.9
60580660,C2,160 / 200 mm,27,32,48,14,,47.7,22,49.9
