Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63150220,unbeschichtet,15,"<= 1.00",2.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150225,unbeschichtet,15,"1.01 - 1.50",2.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150230,unbeschichtet,15,"1.51 - 2.00",2.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150280,unbeschichtet,20,"<= 1.00",4.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150285,unbeschichtet,20,"1.01 - 1.50",4.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150290,unbeschichtet,20,"1.51 - 2.00",4.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150292,unbeschichtet,20,"2.01 - 2.50",4.5,GS10,,3.2,".0432, .0472, .0476, .0480"
63150340,unbeschichtet,25,"<= 1.00",7.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150345,unbeschichtet,25,"1.01 - 1.50",7.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150350,unbeschichtet,25,"1.51 - 2.00",7.0,GS10,,2.7,".0432, .0472, .0476, .0480"
63150352,unbeschichtet,25,"2.01 - 2.50",7.0,GS10,,3.2,".0432, .0472, .0476, .0480"
63150355,unbeschichtet,25,"2.51 - 4.00",7.0,GS10,,3.7 - 4.7,".0432, .0472, .0476, .0480"
63150356,unbeschichtet,25,"4.01 - 5.50",7.0,GS10,,4.71 - 6.2,".0432, .0472, .0476, .0480"
63150358,unbeschichtet,25,"5.51 - 7.20",7.0,GS10,,6.21 - 7.9,".0432, .0472, .0476, .0480"
63150400,unbeschichtet,32,"<= 1.00",10.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150405,unbeschichtet,32,"1.01 - 1.50",10.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150410,unbeschichtet,32,"1.51 - 2.00",10.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150412,unbeschichtet,32,"2.01 - 2.50",10.5,GS10,,3.2,".0432, .0472, .0476, .0480"
63150414,unbeschichtet,32,"2.51 - 3.00",10.5,GS10,,3.7,".0432, .0472, .0476, .0480"
63150416,unbeschichtet,32,"3.01 - 5.20",10.5,GS10,,3.71 - 5.9,".0432, .0472, .0476, .0480"
63150430,unbeschichtet,40,"<= 1.00",14.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150440,unbeschichtet,40,"1.01 - 2.00",14.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150444,unbeschichtet,40,"2.01 - 3.00",14.5,GS10,,3.7,".0432, .0472, .0476, .0480"
63150460,unbeschichtet,50,"<= 1.00",19.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150470,unbeschichtet,50,"1.01 - 2.00",19.5,GS10,,2.7,".0432, .0472, .0476, .0480"
63150474,unbeschichtet,50,"2.01 - 3.20",19.5,GS10,,3.7 - 3.9,".0432, .0472, .0476, .0480"
