Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63160215,TiNox-beschichtet,15,0.5,2.0,GS10,24 A+,2.7,".0432, .0472, .0476, .0480"
63160220,TiNox-beschichtet,15,1,2.0,GS10,24 A+,2.7,".0432, .0472, .0476, .0480"
63160225,TiNox-beschichtet,15,1.5,2.0,GS10,24 A+,2.7,".0432, .0472, .0476, .0480"
63160230,TiNox-beschichtet,15,2,2.0,GS10,24 A+,2.7,".0432, .0472, .0476, .0480"
63160275,TiNox-beschichtet,20,0.5,4.5,GS10,18 A+,2.7,".0432, .0472, .0476, .0480"
63160280,TiNox-beschichtet,20,1,4.5,GS10,18 A+,2.7,".0432, .0472, .0476, .0480"
63160285,TiNox-beschichtet,20,1.5,4.5,GS10,18 A+,2.7,".0432, .0472, .0476, .0480"
63160290,TiNox-beschichtet,20,2,4.5,GS10,18 A+,2.7,".0432, .0472, .0476, .0480"
63160292,TiNox-beschichtet,20,2.5,4.5,GS10,16 A+,3.2,".0432, .0472, .0476, .0480"
63160335,TiNox-beschichtet,25,0.5,7.0,GS10,16 A+,2.7,".0432, .0472, .0476, .0480"
63160340,TiNox-beschichtet,25,1,7.0,GS10,16 A+,2.7,".0432, .0472, .0476, .0480"
63160345,TiNox-beschichtet,25,1.5,7.0,GS10,16 A+,2.7,".0432, .0472, .0476, .0480"
63160350,TiNox-beschichtet,25,2,7.0,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63160352,TiNox-beschichtet,25,2.5,7.0,GS10,12 A+,3.2,".0432, .0472, .0476, .0480"
63160395,TiNox-beschichtet,32,0.5,10.5,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63160400,TiNox-beschichtet,32,1,10.5,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63160405,TiNox-beschichtet,32,1.5,10.5,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63160410,TiNox-beschichtet,32,2,10.5,GS10,10 A+,2.7,".0432, .0472, .0476, .0480"
63160412,TiNox-beschichtet,32,2.5,10.5,GS10,12 Aw+,3.2,".0432, .0472, .0476, .0480"
63160414,TiNox-beschichtet,32,3,10.5,GS10,10 Aw+,3.7,".0432, .0472, .0476, .0480"
63160430,TiNox-beschichtet,40,"<= 1.00",14.5,GS10,14 A+,2.7,".0432, .0472, .0476, .0480"
63160440,TiNox-beschichtet,40,"1.01 - 2.00",14.5,GS10,12 Aw+,2.7,".0432, .0472, .0476, .0480"
63160460,TiNox-beschichtet,50,"<= 1.00",19.5,GS10,10 A+,2.7,".0432, .0472, .0476, .0480"
63160470,TiNox-beschichtet,50,"1.01 - 2.00",19.5,GS10,10 Aw+,2.7,".0432, .0472, .0476, .0480"
