Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63140573,AlCrN-beschichtet,50,1,16.5,GS16,14 Bw,4.4,".0582, .0594, .0670"
63140574,AlCrN-beschichtet,50,1.5,16.5,GS16,14 Bw,4.4,".0582, .0594, .0670"
63140576,AlCrN-beschichtet,50,2,16.5,GS16,14 Bw,4.4,".0582, .0594, .0670"
63140663,AlCrN-beschichtet,63,1,23.0,GS16,14 Bw,4.4,".0582, .0594, .0670"
63140664,AlCrN-beschichtet,63,1.5,23.0,GS16,14 Bw,4.4,".0582, .0594, .0670"
63140666,AlCrN-beschichtet,63,2,23.0,GS16,14 Bw,4.4,".0582, .0594, .0670"
