Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63160185,TiNox-beschichtet,15,0.5,3.5,GS07,18 A+,2,".0262, .0290, .0322, .0326, .0330"
63160190,TiNox-beschichtet,15,1,3.5,GS07,18 A+,2,".0262, .0290, .0322, .0326, .0330"
63160195,TiNox-beschichtet,15,1.5,3.5,GS07,18 A+,2.1,".0262, .0290, .0322, .0326, .0330"
63160205,TiNox-beschichtet,15,2,3.5,GS07,12 A+,2.6,".0262, .0290, .0322, .0326, .0330"
63160245,TiNox-beschichtet,20,0.5,6.0,GS07,16 A+,2,".0262, .0290, .0322, .0326, .0330"
63160250,TiNox-beschichtet,20,1,6.0,GS07,16 A+,2,".0262, .0290, .0322, .0326, .0330"
63160255,TiNox-beschichtet,20,1.5,6.0,GS07,10 A+,2.1,".0262, .0290, .0322, .0326, .0330"
63160260,TiNox-beschichtet,20,2,6.0,GS07,12 Aw+,2.6,".0262, .0290, .0322, .0326, .0330"
63160262,TiNox-beschichtet,20,2.5,6.0,GS07,10 Aw+,3.1,".0262, .0290, .0322, .0326, .0330"
63160305,TiNox-beschichtet,25,0.5,8.5,GS07,14 A+,2,".0262, .0290, .0322, .0326, .0330"
63160310,TiNox-beschichtet,25,1,8.5,GS07,12 A+,2,".0262, .0290, .0322, .0326, .0330"
63160315,TiNox-beschichtet,25,1.5,8.5,GS07,12 Aw+,2.1,".0262, .0290, .0322, .0326, .0330"
63160320,TiNox-beschichtet,25,2,8.5,GS07,10 Aw+,2.6,".0262, .0290, .0322, .0326, .0330"
63160365,TiNox-beschichtet,32,0.5,12.0,GS07,14 A+,2,".0262, .0290, .0322, .0326, .0330"
63160370,TiNox-beschichtet,32,1,12.0,GS07,14 Aw+,2,".0262, .0290, .0322, .0326, .0330"
63160375,TiNox-beschichtet,32,1.5,12.0,GS07,10 Aw+,2.1,".0262, .0290, .0322, .0326, .0330"
