Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63130573,unbeschichtet,50,"<= 1.00",16.5,GS16,,4.4,".0582, .0594, .0670"
63130574,unbeschichtet,50,"1.01 - 1.50",16.5,GS16,,4.4,".0582, .0594, .0670"
63130576,unbeschichtet,50,"1.51 - 2.00",16.5,GS16,,4.4,".0582, .0594, .0670"
63130663,unbeschichtet,63,"<= 1.00",23.0,GS16,,4.4,".0582, .0594, .0670"
63130664,unbeschichtet,63,"1.01 - 1.50",23.0,GS16,,4.4,".0582, .0594, .0670"
63130666,unbeschichtet,63,"1.51 - 2.00",23.0,GS16,,4.4,".0582, .0594, .0670"
