Artikel Nr.,Beschichtung,d1 mm,b mm,b1 mm,Zahnform,Nuttiefe mm,d2 mm,d3 mm,Schicht,Werkstoff,Aufnahme 6048. _ _ _ _
63470538,unbeschichtet/poliert,63,1.00,2.55,18 Bw,14.5,16,32,unbeschichtet,Aluminium,".0440, .0540, .0640"
63470604,unbeschichtet/poliert,80,1.50,2.55,16 Bw,23.0,16,32,unbeschichtet,Aluminium,".0440, .0540, .0640"
63470724,unbeschichtet/poliert,100,1.50,2.55,16 Bw,29.0,22,40,unbeschichtet,Aluminium,.0650
63470790,unbeschichtet/poliert,125,2.00,2.55,14 Bw,41.5,22,40,unbeschichtet,Aluminium,.0650
