Artikel Nr.,Beschichtung,d1 mm,b mm,Nuttiefe mm,Typ (Modell),Zahnform,b1 mm,Aufnahme 6018. _ _ _ _
63150483,unbeschichtet,32,"<= 1.00",7.5,GS16,,4.4,".0582, .0594, .0670"
63150486,unbeschichtet,32,"1.01 - 2.00",7.5,GS16,,4.4,".0582, .0594, .0670"
63150489,unbeschichtet,32,"2.01 - 3.00",7.5,GS16,,4.4,".0582, .0594, .0670"
63150491,unbeschichtet,32,"3.01 - 4.00",7.5,GS16,,4.9,".0582, .0594, .0670"
63150493,unbeschichtet,32,"4.01 - 5.00",7.5,GS16,,5.9,".0582, .0594, .0670"
63150503,unbeschichtet,40,"<= 1.00",11.5,GS16,,4.4,".0582, .0594, .0670"
63150506,unbeschichtet,40,"1.01 - 2.00",11.5,GS16,,4.6,".0582, .0594, .0670"
63150509,unbeschichtet,40,"2.01 - 3.00",11.5,GS16,,4.6,".0582, .0594, .0670"
63150511,unbeschichtet,40,"3.01 - 4.00",11.5,GS16,,4.9,".0582, .0594, .0670"
63150513,unbeschichtet,40,"4.01 - 5.00",11.5,GS16,,5.9,".0582, .0594, .0670"
63150573,unbeschichtet,50,"<= 1.00",16.5,GS16,,4.4,".0582, .0594, .0670"
63150576,unbeschichtet,50,"1.01 - 2.00",16.5,GS16,,4.4,".0582, .0594, .0670"
63150579,unbeschichtet,50,"2.01 - 3.00",16.5,GS16,,4.6,".0582, .0594, .0670"
63150581,unbeschichtet,50,"3.01 - 4.00",16.5,GS16,,4.9,".0582, .0594, .0670"
63150583,unbeschichtet,50,"4.01 - 5.00",16.5,GS16,,5.9,".0582, .0594, .0670"
63150663,unbeschichtet,63,"<= 1.00",23.0,GS16,,4.4,".0582, .0594, .0670"
63150666,unbeschichtet,63,"1.01 - 2.00",23.0,GS16,,4.4,".0582, .0594, .0670"
63150669,unbeschichtet,63,"2.01 - 3.00",23.0,GS16,,4.4,".0582, .0594, .0670"
63150671,unbeschichtet,63,"3.01 - 4.00",23.0,GS16,,4.9,".0582, .0594, .0670"
